subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB-Holding AG,11217,"Strategisches Prozessmanagement - Strategie, Prozesse, Organisation",Ralph Bernhard,79410000 Unternehmens- und Managementberatung,3,"179.700,00",04.02.2025
ÖBB-Holding AG,11217,Aluminiumguss-Armaturen für Oberleitungs-Porzellan-Isolatoren,,44530000 Verbindungselemente,,,30.01.2025
ÖBB-Holding AG,11217,Reinigungsleistungen im ÖBB-Konzern (Unterhaltsreinigung österreichweit),ISS Facility Services GmbH,"90911000 Wohnungs-, Gebäude- und Fensterreinigung",0,"54.478,40",16.01.2025
ÖBB-Holding AG,11217,Abschlussprüfung im ÖBB-Konzern 2020ff.,Ernst & Young Wirtschaftsprüfungs-,79200000 Dienstleistungen im Bereich Rechnungslegung und -prüfung sowie Steuerwesen,5,"83.439,99",27.12.2024
ÖBB-Holding AG,11217,Bestellung 4300962856,BINDER GRÖSSWANG,79110000 Juristische Beratung und Vertretung,0,"50.000,00",17.12.2024
ÖBB-Holding AG,11217,"Strategy Management Software (Subscriptions inkl. Wartung, Training und Beratung)",,48000000 Softwarepaket und Informationssysteme,,,16.12.2024
ÖBB-Holding AG,11217,Kreativagentur,papabogner GmbH,79340000 Werbe- und Marketingdienstleistungen,0,"90.000,00",13.12.2024
ÖBB-Holding AG,11217,Bestellung 4300960584,Roland Berger GmbH,79313000 Leistungsüberprüfung,1,"50.000,00",12.12.2024
ÖBB-Holding AG,11217,Beratungsleistungen Barrierefreiheit,Rahmenvereinbarung mit mehreren Unternehmern,79419000 Beratung in Sachen Evaluierung,3,"1,00",10.12.2024
ÖBB-Holding AG,11217,Europes Rail Joint Undertakin; FA6 - Cost-efficient Regional Railway Line Assets - FOS Interrogator 10/2024-09/27,"AIT Austrian Institute of Technology GmbH Center for Digital Safety & Security, Competence Unit Sensing and Vision Solutions",71621000 Technische Analysen oder Beratung,1,"90.000,00",05.12.2024
ÖBB-Holding AG,11217,Tool Steuerkontrollsystem,Swiss GRC AG Presales Consultant,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1,"60.200,00",02.12.2024
ÖBB-Holding AG,11217,Service Now – Unterstützung bei den nächsten Schritten,Information Services Group (ISG) ISG Switzerland GmbH,79900000 Veschiedene Dienstleistungen für Unternehmen und andere Dienstleistungen,1,"66.800,00",09.09.2024
ÖBB-Holding AG,11217,InfoSec-DL - Los 2 Projektleiter Information Security mit Fachanteil Security Architecture,PwC Advisory Services GmbH,72200000 Softwareprogrammierung und -beratung,0,"95.040,00",13.08.2024
