subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72260000 Dienstleistungen in Verbindung mit Software,6,"1,00",26.07.2019
ÖBB-Business Competence Center,8550,Bestellung 4300808800,Bechtle GmbH,48000000 Softwarepaket und Informationssysteme,1,"65.000,00",29.07.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72262000 Software-Entwicklung,3,"1,00",31.07.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72261000 Software-Unterstützung,7,"1,00",31.07.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,7,"1,00",31.07.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72210000 Programmierung von Softwarepaketen,7,"1,00",31.07.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5,"1,00",31.07.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Capgemini Consulting Österreich AG,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",7,"1,00",31.07.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Concircle Management,72262000 Software-Entwicklung,5,"1,00",31.07.2019
ÖBB-Business Competence Center,8550,Die Österreichische Bundesbahnen-Holding Aktiengesellschaft sowie die,Rahmenvereinbarung mit mehreren Unternehmen,72261000 Software-Unterstützung,3,"1,00",31.07.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0,"1,00",31.07.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Microsoft Ireland Operations Ltd.,48400000 Softwarepaket für Geschäftstransaktionen und persönliche Arbeitsabläufe,1,"1,00",31.07.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",7,"1,00",31.07.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",6,"1,00",05.08.2019
ÖBB-Business Competence Center,8550,Beratungsleistungen hinsichtlich umfassender Prozessverbesserung im operativen Sinn,OPPIDA GmbH Standort Wien,79410000 Unternehmens- und Managementberatung,2,"2.851.200,00",06.08.2019
ÖBB-Business Competence Center,8550,Rahmenvereinbarung für IT-Arbeitsplatz (DIMACS),OMEGA Handelsgesellschaft m.b.H.,30214000 Arbeitsplätze,0,"50.711,00",08.08.2019
ÖBB-Business Competence Center,8550,Personalentwicklungsprogramme ÖBB akademie,D.I. Rudolf Haller Training & Consulting D.I. Rudolf Haller Training & Consulting,80522000 Schulungsseminare,7,"1,00",12.08.2019
ÖBB-Business Competence Center,8550,Personalentwicklungsprogramme ÖBB akademie,hrdiamonds Human Resource Management,80522000 Schulungsseminare,7,"1,00",12.08.2019
ÖBB-Business Competence Center,8550,Personalentwicklungsprogramme ÖBB akademie,C PLUS Unternehmensberatung GmbH Organisationsentwicklung,80522000 Schulungsseminare,7,"1,00",12.08.2019
ÖBB-Business Competence Center,8550,Personalentwicklungsprogramme ÖBB akademie,Hernstein Institut für Management und Leadership Hernstein Institut,80522000 Schulungsseminare,7,"1,00",12.08.2019
ÖBB-Business Competence Center,8550,Errichtung barrierefreier Zugang Erdberger Lände,ESSECCA GmbH Architekten und Planerbetreuer,42961100 Zugangskontrollsystem,3,"79.778,00",19.08.2019
ÖBB-Business Competence Center,8550,Rahmenvereinbarung für IT-Arbeitsplatz (DIMACS),OMEGA Handelsgesellschaft m.b.H.,30214000 Arbeitsplätze,0,"50.711,00",19.08.2019
ÖBB-Business Competence Center,8550,Betriebsdatenerfassungsanwendung (BDE-Anwendung),Concircle Management,72212400 Entwicklung von Software für Geschäftstransaktionen und persönliche Arbeitsabläufe,5,"146.240,00",19.08.2019
ÖBB-Business Competence Center,8550,Die Österreichische Bundesbahnen-Holding Aktiengesellschaft sowie die,Capgemini Consulting Österreich AG,72210000 Programmierung von Softwarepaketen,0,"129.050,00",19.08.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Concircle Management,72212100 Entwicklung von branchenspezifischer Software,5,"1,00",19.08.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,ACCELERO CONSULTING GMBH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",7,"65.797,50",19.08.2019
ÖBB-Business Competence Center,8550,BMC Applikationswartung,NTT DATA Österreich GmbH,72267000 Software-Wartung und -Reparatur,0,"58.378,00",19.08.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Concircle Management,72212100 Entwicklung von branchenspezifischer Software,5,"1,00",19.08.2019
ÖBB-Business Competence Center,8550,SAP Software und SAP Cloud Services,SAP Österreich GmbH,72260000 Dienstleistungen in Verbindung mit Software,1,"2.850.000,00",19.08.2019
ÖBB-Business Competence Center,8550,Betriebsdatenerfassungsanwendung (BDE-Anwendung),Concircle Management,72212400 Entwicklung von Software für Geschäftstransaktionen und persönliche Arbeitsabläufe,5,"146.240,00",19.08.2019
ÖBB-Business Competence Center,8550,Abrufbestellung aus einer Rahmenvereinbarung,COMPAREX Austria GmbH,48500000 Kommunikations- und Multimedia-Softwarepaket,0,"265.339,50",19.08.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung für die Konzeption und Einführung von SAP-Projekten für Logistik,active business consult,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0,"100.880,00",19.08.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Microsoft Ireland Operations Ltd.,"48200000 Softwarepaket für Vernetzung, Internet und Intranet",1,"1,00",19.08.2019
ÖBB-Business Competence Center,8550,Rahmenvereinbarung über Rackserver,HUAWEI Technologies Austria GmbH,30236200 Datenverarbeitungsanlagen,5,"71.759,36",19.08.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,3,"1,00",19.08.2019
ÖBB-Business Competence Center,8550,Die Österreichische Bundesbahnen-Holding Aktiengesellschaft sowie die,Capgemini Consulting Österreich AG,72210000 Programmierung von Softwarepaketen,0,"129.050,00",19.08.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,10,"1,00",19.08.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,COMPAREX Austria GmbH,48000000 Softwarepaket und Informationssysteme,2,"91.266,30",19.08.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,7,"1,00",20.08.2019
ÖBB-Business Competence Center,8550,Rahmenvereinbarung über Rackserver,HUAWEI Technologies Austria GmbH,30236200 Datenverarbeitungsanlagen,4,"99.824,35",27.08.2019
ÖBB-Business Competence Center,8550,Rahmenvereinbarung über Rackserver,HUAWEI Technologies Austria GmbH,30236200 Datenverarbeitungsanlagen,4,"219.719,00",27.08.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,CA Software Österreich GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0,"92.500,00",03.09.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,ONTEC AG,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0,"65.000,00",05.09.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,active business consult,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0,"99.231,00",05.09.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,map7 Consulting e.U.,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0,"59.840,00",05.09.2019
ÖBB-Business Competence Center,8550,Abruf aus Rahmenvereinbarung,MICROSOFT ÖSTERREICH GMBH,72220000 Systemberatung und technische Beratung,1,"1,00",16.09.2019
