subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB-Personenverkehr AG,8547,Wartung und Instandhaltung für 17 gebrauchte doppelstöckige Elektrotriebzüge (KISS 200) - Wartungsvertrag für 17 gebrauchte doppelstöckige Elektrotriebzüge (KISS 200),ÖBB STADLER Service GmbH,50222000 Reparatur und Wartung von Schienenfahrzeugen,1,"116.000.000,00",21.07.2025
ÖBB-Personenverkehr AG,8547,Betriebswirtschaftliche Beratungsleistungen,Rahmenvereinbarung mit mehreren Unternehmen,79400000 Unternehmens- und Managementberatung und zugehörige Dienste,3,"190.000,00",17.07.2025
ÖBB-Personenverkehr AG,8547,Betriebswirtschaftliche Beratungsleistungen,Horvath & Partner Management Consulting GmbH,79400000 Unternehmens- und Managementberatung und zugehörige Dienste,3,"383.000,00",17.07.2025
ÖBB-Personenverkehr AG,8547,Abruf aus Rahmenvereinbarung im Bereich IT Dienstleistungen - Development Mobile,Accenture GmbH,72200000 Softwareprogrammierung und -beratung,3,"131.599,60",16.07.2025
ÖBB-Personenverkehr AG,8547,Abruf aus Rahmenvereinbarung im Bereich IT Dienstleistungen - Development Web,Accenture GmbH,72200000 Softwareprogrammierung und -beratung,16,"56.340,00",16.07.2025
ÖBB-Personenverkehr AG,8547,Abrufbestellung aus Rahmenvereinbarung für Verkaufsinformationssystem (VIS),Quanos Solutions GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1,"62.134,98",16.07.2025
ÖBB-Personenverkehr AG,8547,"Abruf aus Rahmenvereinbarung Softwarewartung der Systeme FIN,ITAS,FAS,REBAB",BearingPoint GmbH,72267000 Software-Wartung und -Reparatur,1,"86.044,00",16.07.2025
ÖBB-Personenverkehr AG,8547,Beratungsleistung im Bereich Fahrzeug-Instandhaltung,TÜV Rheinland InterTraffic GmbH,71240000 Dienstleistungen von Architektur- und Ingenieurbüros sowie planungsbezogene Leistungen,3,"542.001,00",16.07.2025
ÖBB-Personenverkehr AG,8547,Beratungsleistungen Internationalisierung/ PSO-Wettbewerb,Rahmenvereinbarung mit mehreren Unternehmen,79418000 Beschaffungsberatung,6,"48.720,00",16.07.2025
ÖBB-Personenverkehr AG,8547,Beratungsleistungen Fahrzeugbeschaffung,RAILISTICS GmbH,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",2,"127.413,00",16.07.2025
ÖBB-Personenverkehr AG,8547,Abruf aus Rahmenvereinbarung Train Operating Forecasting (TOF),Complexity Science Hub Vienna,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1,"210.000,00",16.07.2025
ÖBB-Personenverkehr AG,8547,"Abrufbestellung aus einer Rahmenvereinbarung FBS (Wartung, Funktionsanpassung und Lizenzerweiterung)",iRFP e.K.,72267100 Wartung von Informationstechnologiesoftware,1,"53.855,12",15.07.2025
ÖBB-Personenverkehr AG,8547,Abruf aus Rahmenvereinbarung: Haus zu Haus Gepäckservice,GO! Express & Logistics GmbH,60000000 Transport- und Beförderungsdienstleistungen (außer Abfalltransport),2,"450.900,00",15.07.2025
ÖBB-Personenverkehr AG,8547,Abruf aus Rahmenvereinbarung: Schädlingsmanagement in Fahrzeugen,Rentokil Initial GmbH,90922000 Schädlingsbekämpfung,3,"803.664,10",15.07.2025
ÖBB-Personenverkehr AG,8547,Bestellung 4300982265,Secretariat Advisors Germany GmbH,79410000 Unternehmens- und Managementberatung,0,"60.000,00",14.07.2025
ÖBB-Personenverkehr AG,8547,Beratungsleistungen Unternehmensbewertung,PwC Wirtschaftsprüfung GmbH,79412000 Beratung im Bereich Finanzverwaltung,5,"99.812,00",10.07.2025
ÖBB-Personenverkehr AG,8547,"Abruf von der Rahmenvereinbarung ""Verpflegungsleistungen und zugehörige Dienstleistungen""",don travel railcatering GmbH,55522000 Verpflegungsdienste für Transportunternehmen,4,"35.000.000,00",07.07.2025
ÖBB-Personenverkehr AG,8547,DAB 4.0 Plattform,BearingPoint GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",4,"99.550,00",07.07.2025
ÖBB-Personenverkehr AG,8547,Angebot Begleitung BCM Einführung PV,BC Consulting GmbH BC Consulting GmbH,72212000 Programmierung von Anwendersoftware,1,"66.000,00",02.07.2025
ÖBB-Personenverkehr AG,8547,DAB 4.0 Plattform,BearingPoint GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",4,"76.800,00",02.07.2025
ÖBB-Personenverkehr AG,8547,Abrufbestellung aus einer Rahmenvereinbarung,Televic Rail GmbH,31712117 Baugruppen aus integrierten Schaltungen,0,"73.149,99",02.07.2025
ÖBB-Personenverkehr AG,8547,Beratungsleistungen operative Unternehmensführung,Ernst & Young Parthenon,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",0,"232.916,15",27.06.2025
ÖBB-Personenverkehr AG,8547,Softwarebetrieb und Wartung für Zutrittskontrollen der ÖBB Club Lounges,Arivo GmbH Parksystem,48100000 Branchenspezifisches Softwarepaket,1,"192.000,00",23.06.2025
ÖBB-Personenverkehr AG,8547,Bestellung 4300980550,BINDER GRÖSSWANG,79111000 Rechtsberatung,0,"50.000,00",23.06.2025
ÖBB-Personenverkehr AG,8547,Abrufbestellung aus einer Rahmenvereinbarung,Televic Rail GmbH,31712117 Baugruppen aus integrierten Schaltungen,0,"232.094,97",23.06.2025
ÖBB-Personenverkehr AG,8547,Lieferauftrag über gebrauchte doppelstöckige Elektrotriebzüge an die ÖBB-PV AG,DB Fernverkehr AG,34620000 Schienenfahrzeuge,1,"222.170.000,00",21.06.2025
ÖBB-Personenverkehr AG,8547,"Abruf von Rahmenvereinbarung ""Reinigung von ÖBB-Schienenfahrzeugen im Personenverkehr und zugehörige Leistungen""",Simacek Facility Management Group,90917000 Reinigung von Transportmitteln,4,"149.806,80",20.06.2025
ÖBB-Personenverkehr AG,8547,"Abruf von Rahmenvereinbarung ""Reinigung von ÖBB-Schienenfahrzeugen im Personenverkehr und zugehörige Leistungen""",Simacek Facility Management Group,90917000 Reinigung von Transportmitteln,4,"180.000,00",20.06.2025
