subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB-Immobilienmanagement,11090,Instandhaltung - Brandabschottungen Wärme und Kältedämmung,Lindner Isoliertechnik & Industrieservice GesmbH Lindner Isoliertechnik & Industrieservice GesmbH.,45343000 Brandschutz-Installationsarbeiten,3,"360.235,35",02.12.2024
ÖBB-Immobilienmanagement,11090,Instandhaltung - Brandabschottungen Wärme und Kältedämmung,Hermann Albrecht Ges.m.b.H. H. Albrecht Ges.m.b.H.,45343000 Brandschutz-Installationsarbeiten,3,"135.273,80",02.12.2024
ÖBB-Immobilienmanagement,11090,Instandhaltung - Brandabschottungen Wärme und Kältedämmung,"Wallner schützt, dämmt GmbH Zentrale",45343000 Brandschutz-Installationsarbeiten,3,"159.529,15",02.12.2024
ÖBB-Immobilienmanagement,11090,Instandhaltung - Wartung und Reparatur von Foliendächer,RATKA DACHBAU GMBH Zentrale,45261900 Dachreparatur und Dachwartung,10,"40.962,00",29.10.2024
ÖBB-Immobilienmanagement,11090,Instandhaltung - Wartung und Reparatur von Foliendächer,Giner GmbH Zentrale,45261900 Dachreparatur und Dachwartung,10,"65.236,00",29.10.2024
ÖBB-Immobilienmanagement,11090,Instandhaltung - Wartung und Reparatur von Foliendächer,Schmid Dachbau GmbH Schmid Dachbau GmbH.,45261900 Dachreparatur und Dachwartung,10,"103.206,45",29.10.2024
ÖBB-Immobilienmanagement,11090,Instandhaltung - Wartung und Reparatur von Foliendächer,EBERT Dach GmbH  EBERT Dach GmbH,45261900 Dachreparatur und Dachwartung,10,"167.300,00",29.10.2024
ÖBB-Immobilienmanagement,11090,Instandhaltung - Wartung und Reparatur von Foliendächer,Fleischmann & Petschnig Zentrale Klagenfurt,45261900 Dachreparatur und Dachwartung,10,"72.968,10",29.10.2024
ÖBB-Immobilienmanagement,11090,Instandhaltung - Wartung und Reparatur von Foliendächer,Fuchs Wolfgang GmbH Zentrale,45261900 Dachreparatur und Dachwartung,10,"57.949,00",29.10.2024
ÖBB-Immobilienmanagement,11090,Beurteilung von Stützenfüßen für Vitrinen am Bahnsteig - Beurteilung von Stützenfüßen für Vitrinen am Bahnsteig,,71520000 Bauaufsicht,,,25.10.2024
ÖBB-Immobilienmanagement,11090,Wartung und Entstörung von Gepäckschliessfachanlagen,K-ET e.U. Inhaber Rene Kutschera Elektrotechniker & Elektrofachhandel,50710000 Reparatur und Wartung von elektrischen und mechanischen Einrichtungen in Gebäuden,1,"99.648,00",01.10.2024
ÖBB-Immobilienmanagement,11090,Lieferung und Montage von 23 Fahrtreppen - Abruf aus der Rahmenvereinbarung,Schindler Aufzüge u. Fahrtreppen Gm,"42416000 Aufzüge, Schrägaufzüge, Hebezeuge, Rolltreppen und Rollsteige",0,"127.990,57",02.09.2024
ÖBB-Immobilienmanagement,11090,Kundensanitäranage Kremsmünster,Ö-Baumanagement Gmbh Ö-Baumanagement Gmbh,45000000 Bauarbeiten,1,"248.603,15",29.08.2024
ÖBB-Immobilienmanagement,11090,"Rampe Frachtenbahnhof St.Pölten - Abtrag der Rampen neben Gl 750, 752 und 754 - VAI Mangel",PORR Bau GmbH Bahnbau - Österreich,45000000 Bauarbeiten,4,"310.505,84",27.08.2024
ÖBB-Immobilienmanagement,11090,Brandschutzportale tauschen - Schlosserarbeiten,Schinnerl Metallbau GmbH Kalkulation,45210000 Bauleistungen im Hochbau,4,"98.642,47",29.07.2024
ÖBB-Immobilienmanagement,11090,Abruf aus Rahmenvereinbarung,SER Solutions Österreich GmbH,48400000 Softwarepaket für Geschäftstransaktionen und persönliche Arbeitsabläufe,1,"95.240,64",25.07.2024
ÖBB-Immobilienmanagement,11090,Instandhaltung - Wartung HKLS Anlagen Hebbelplatz 7,Dipl.Ing.Alfred Offner Ges.m.b.H. Zentrale,50730000 Reparatur und Wartung von Kühlgruppen,3,"338.101,12",18.06.2024
ÖBB-Immobilienmanagement,11090,Lieferung und Einbau einer Seilaufzuganlage,Schindler Aufzüge u. Fahrtreppen Gm,42416100 Aufzüge,2,"413.400,00",13.06.2024
ÖBB-Immobilienmanagement,11090,Lieferung und Einbau einer Seilaufzuganlage,Schindler Aufzüge u. Fahrtreppen Gm,42416100 Aufzüge,2,"298.578,00",11.06.2024
ÖBB-Immobilienmanagement,11090,Erstellung von Energieausweise,,71314000 Dienstleistungen im Energiebereich,,,10.06.2024
ÖBB-Immobilienmanagement,11090,Heizungs- und Sanitärinstallationen in Villach,Hechenleitner & Cie GmbH Zentrale,"42512300 Heizungs-, Lüftungs- und Klimaanlagen",3,"585.446,69",07.06.2024
ÖBB-Immobilienmanagement,11090,Heizungs- und Sanitärinstallationen in Villach,Markus Stolz GmbH & Co KG Niederlassung Lienz,"42512300 Heizungs-, Lüftungs- und Klimaanlagen",3,"173.542,74",07.06.2024
ÖBB-Immobilienmanagement,11090,Heizungs- und Sanitärinstallationen in Spittal und Villach,Markus Stolz GmbH & Co KG Niederlassung Lienz,"42512300 Heizungs-, Lüftungs- und Klimaanlagen",3,"552.212,16",07.06.2024
ÖBB-Immobilienmanagement,11090,Heizungs- und Sanitärinstallationen in Spittal und Villach,A. Zoppoth Haustechnik - Gesellschaft m. b. H.  Zentrale,"42512300 Heizungs-, Lüftungs- und Klimaanlagen",3,"190.028,90",07.06.2024
ÖBB-Immobilienmanagement,11090,Optionsziehung Wartung HKLS+MSR Betriebsführungszentrale Wien Ost 2 im Gewährleistungszeitraum - Durchführung von Wartungsarbeiten an HKLS+MSR Anlagen in der BFZ Wien Ost 2 in der Gewährleistung,Bietergemeinschaft bestehend aus: Dipl.Ing.Alfred Offner Ges.m.b.H. Zentrale;Caverion Österreich GmbH Zentrale Wien,45259000 Reparatur und Wartung von Anlagen,1,"296.362,13",03.06.2024
ÖBB-Immobilienmanagement,11090,Anschluss an das Fernwärmenetz Villach,KELAG Energie und Wärme GmbH Vertriebsmanagement,"42512300 Heizungs-, Lüftungs- und Klimaanlagen",1,"150.060,00",02.05.2024
ÖBB-Immobilienmanagement,11090,Anschluss an das Fernwärmenetz Villach Seebach,KELAG Energie und Wärme GmbH Vertriebsmanagement,"42512300 Heizungs-, Lüftungs- und Klimaanlagen",1,"83.100,00",30.04.2024
ÖBB-Immobilienmanagement,11090,Bestellung 4300941253,Produs GmbH,71240000 Dienstleistungen von Architektur- und Ingenieurbüros sowie planungsbezogene Leistungen,1,"52.440,00",25.04.2024
ÖBB-Immobilienmanagement,11090,OEP018 MZG Wolfurt; Zollamtsgebäude Wolfurt - Machbarkeitsstudie Architektur,Produs GmbH Zentrale,71240000 Dienstleistungen von Architektur- und Ingenieurbüros sowie planungsbezogene Leistungen,1,"52.440,00",19.04.2024
ÖBB-Immobilienmanagement,11090,Wien Meidling; Verbundgebäude Planung - Gutachter (§31a und §34b) nach EisbG,Bahn Consult TEN Bewertungsges.m.b.H. Zentrale,"71000000 Dienstleistungen von Architektur-, Konstruktions- und Ingenieurbüros und Prüfstellen",2,"266.950,95",09.04.2024
ÖBB-Immobilienmanagement,11090,Lieferung und Montage von 23 Fahrtreppen - Abruf aus der Rahmenvereinbarung,Schindler Aufzüge u. Fahrtreppen Gm,"42416000 Aufzüge, Schrägaufzüge, Hebezeuge, Rolltreppen und Rollsteige",0,"333.897,83",05.03.2024
ÖBB-Immobilienmanagement,11090,Lieferung und Einbau einer Seilaufzuganlage,Schindler Aufzüge u. Fahrtreppen Gm,42416100 Aufzüge,2,"313.185,00",05.02.2024
ÖBB-Immobilienmanagement,11090,Bestückung von Gegenständen mit RFID/NFC-Tags inkl. Datenmanagement,"TAGnology RFID GmbH RFID-, NFC- und Auto-ID Industrie 4.0","72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1,"150.000,00",05.02.2024
ÖBB-Immobilienmanagement,11090,Risikobasierte Instandhaltung von von Dachuntersichten an ÖBB-Bahnsteigen,ILF Consulting Engineers Austria GmbH Zweigniederlassung Linz,70000000 Immobiliendienste,1,"59.702,80",29.01.2024
ÖBB-Immobilienmanagement,11090,Hausbetreuertätigkeiten in Amstetten,Hausbetreuung Attensam GmbH Hausbetreuung Attensam GmbH-Zentrale,70333000 Dienstleistungen im Wohnungswesen,5,"172.016,43",02.01.2024
ÖBB-Immobilienmanagement,11090,Instandhaltung von Aufzugsanlagen,Otis Gesellschaft m.b.H.,50750000 Wartung von Aufzugsanlagen,0,"185.388,30",23.12.2023
ÖBB-Immobilienmanagement,11090,"Rohrpostanlage OÖ-Terminal Wels Vbf. Wartung/Inspektion, Störung, Reparatur und Bereitschaft",Apleona Austria GmbH LCS,50000000 Reparatur- und Wartungsdienste,1,"80.544,56",06.12.2023
ÖBB-Immobilienmanagement,11090,IM2108_EW_ZLW Hebbelplatz 7 - Örtliche Bauaufsicht,iC consulenten ZT GesmbH Zentrale IC Wien,71520000 Bauaufsicht,1,"98.450,00",28.11.2023
