subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB-Werbung,11224,Corporate Publishing Print-Produkte,RVB mit 2 RVB Partnern - auf Grund der Möglichkeit eines Aufrufes zum erneuten Wettbewerb werden die Rahmenvereinbarungspartner nicht bekanntgegeben+ 1 weitere Lieferanten,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",3,,24.01.2024
ÖBB-Werbung,11224,Videoproduktionen,RVB mit 2 RVB Partnern - auf Grund der Möglichkeit eines Aufrufes zum erneuten Wettbewerb werden die Rahmenvereinbarungspartner nicht bekanntgegeben,"92111200 Herstellung von Werbe-, Reklame- und Informationsfilmen und -videofilmen",7,,18.01.2024
ÖBB-Werbung,11224,Kreativ-Eventagentur,Vergabe einer RVB mit 2 RVB Partnern - auf Grund der Möglichkeit eines Aufrufes zum erneuten Wettbewerb werden die Rahmenvereinbarungspartner nicht bekanntgegeben,79952000 Event-Organisation,5,,17.01.2024
ÖBB-Werbung,11224,Retusche und Reinzeichnung,Blaupapier GmbH,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",5,"316.943,00",15.01.2024
ÖBB-Werbung,11224,Corporate Publishing Print-Produkte,Rahmenvereinbarung mit mehreren Unternehmern,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",3,"1,00",12.01.2024
ÖBB-Werbung,11224,Promotionpersonal,Rahmenvereinbarung mit mehreren Unternehmern,79620000 Überlassung von Personal einschließlich Zeitarbeitskräfte,1,"1,00",08.01.2024
ÖBB-Werbung,11224,Kreativ-Eventagentur,Rahmenvereinbarung mit mehreren Unternehmern,79952000 Event-Organisation,5,"1,00",03.01.2024
ÖBB-Werbung,11224,Videoproduktionen,Rahmenvereinbarung mit mehreren Unternehmern,"92111200 Herstellung von Werbe-, Reklame- und Informationsfilmen und -videofilmen",7,"1,00",03.01.2024
ÖBB-Werbung,11224,Retusche und Reinzeichnung,Rahmenvereinbarung mit mehreren Unternehmern,79800000 Druckereidienste und verbundene Dienstleistungen des Druckgewerbes,5,"1,00",03.01.2024
ÖBB-Werbung,11224,"Errichtung, Reparatur und Demontage von Großplakattafeln",,79341000 Werbedienste,,,26.12.2023
ÖBB-Werbung,11224,Markus Schober - Catering-Inbetriebnahme Koralmbahn,GH Gössnitzer Gasthof,55320000 Servieren von Mahlzeiten,1,"53.090,91",14.12.2023
ÖBB-Werbung,11224,Mitarbeiter:innenmagazin,Red Bull Media House GmbH Publishing,79970000 Verlagsdienste,4,"312.680,00",31.10.2023
ÖBB-Werbung,11224,Corporate Publishing Print-Produkte,,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",,,04.10.2023
ÖBB-Werbung,11224,Montage von Werbetechnik und Folierungen,,79341000 Werbedienste,,,03.10.2023
ÖBB-Werbung,11224,Impacts Catering Wien GmbH - Business Run 2023,Impacts Catering Wien GmbH Leitung Finanz,55320000 Servieren von Mahlzeiten,1,"66.825,00",07.09.2023
ÖBB-Werbung,11224,"Verpflegung Veranstaltung ""100 Jahre ÖBB Geburtstagsfest""",DoN travel railcatering gmbh Zentrale/Office,55520000 Verpflegungsdienste,3,"257.750,00",05.09.2023
ÖBB-Werbung,11224,Kreativ-Eventagentur,,79952000 Event-Organisation,,,30.08.2023
ÖBB-Werbung,11224,JOSH. - 100 Jahre ÖBB-Fest,Pansky Entertainment Gmbh Zentrale,"92312200 Dienstleistungen von Schriftstellern, Komponisten, Bildhauern, Entertainern und sonstigen Künstlern",1,"68.000,00",21.08.2023
ÖBB-Werbung,11224,Zeltverleih für Veranstaltungen,Rahmenvereinbarung mit mehreren Unternehmern,"79950000 Veranstaltung von Ausstellungen, Messen und Kongressen",2,"1,00",09.08.2023
ÖBB-Werbung,11224,Promotionpersonal,,79620000 Überlassung von Personal einschließlich Zeitarbeitskräfte,,,08.08.2023
ÖBB-Werbung,11224,Videoproduktionen,,"92111200 Herstellung von Werbe-, Reklame- und Informationsfilmen und -videofilmen",,,08.08.2023
ÖBB-Werbung,11224,Fahrzeug Beklebung,Rahmenvereinbarung mit mehreren Unternehmern,42962100 Folienbedruckung,1,"1,00",02.08.2023
ÖBB-Werbung,11224,Tonstudio,Rahmenvereinbarung mit mehreren Unternehmern,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",4,"1,00",25.07.2023
ÖBB-Werbung,11224,"Großformatiger Digitaldruck auf div. Platten, Folien und Plattenmaterialien",Rahmenvereinbarung mit mehreren Unternehmern,79811000 Digitaldruck,9,"1,00",10.07.2023
ÖBB-Werbung,11224,Designer:in/Art Direktor:in zur Konzeption & Gestaltung abgeschlossener Kommunikationsmaßnahmen,Max Jurasch Werbung / Grafik Design,79822500 Dienstleistungen im Grafik-Design,3,"64.124,00",01.06.2023
ÖBB-Werbung,11224,Producer:in mit Schwerpunkt grafischer Umsetzung,Michael Fischer Werbung - Produktion,79822500 Dienstleistungen im Grafik-Design,3,"79.900,00",26.05.2023
ÖBB-Werbung,11224,Mitarbeiter:innenmagazin,,79970000 Verlagsdienste,,,03.05.2023
ÖBB-Werbung,11224,Kreativagentur,Rahmenvereinbarung mit mehreren Unternehmern,79340000 Werbe- und Marketingdienstleistungen,8,"1,00",01.04.2023
ÖBB-Werbung,11224,Catering für das Executive Update,Edler Landhaus Oswald Catering,55500000 Kantinen- und Verpflegungsdienste,1,"164.105,00",29.03.2023
ÖBB-Werbung,11224,Fahrzeug Beklebung,,42962100 Folienbedruckung,,,17.02.2023
ÖBB-Werbung,11224,Zeltverleih für Veranstaltungen,,"79950000 Veranstaltung von Ausstellungen, Messen und Kongressen",,,14.02.2023
ÖBB-Werbung,11224,"Großformatiger Digitaldruck auf div. Platten, Folien und Plattenmaterialien",,79811000 Digitaldruck,,,17.01.2023
ÖBB-Werbung,11224,"Verlagsleistungen ""Buch - 100 Jahre ÖBB""",Verlagsgruppe Styria GmbH & CoKG Buchverlage,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",4,"118.506,71",13.01.2023
ÖBB-Werbung,11224,"Werbeanlagen: Montage, Austausch und Instandhaltung",Rahmenvereinbarung mit mehreren Unternehmern,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",4,"1,00",09.01.2023
ÖBB-Werbung,11224,Rahmenvereinbarung Messebau,Rahmenvereinbarung mit mehreren Unternehmern,79956000 Organisation von Messen und Ausstellungen,2,"1,00",06.12.2022
ÖBB-Werbung,11224,Ausstellung - 100 Jahre ÖBB,WHY OG Design Studio,79340000 Werbe- und Marketingdienstleistungen,2,"210.300,00",06.12.2022
ÖBB-Werbung,11224,Kreativagentur,,79340000 Werbe- und Marketingdienstleistungen,,,02.12.2022
ÖBB-Werbung,11224,Rahmenvertrag Pixeltool,XXX,72313000 Datenerfassung,1,"1,00",22.11.2022
ÖBB-Werbung,11224,Rahmenvereinbarung Veranstaltungstechnik,Habegger GmbH Projektleitung,79952000 Event-Organisation,3,"3.674.932,68",07.11.2022
ÖBB-Werbung,11224,Online Werbung Bannerproduktion - Online Werbung Bannerproduktion,Rahmenvereinbarung mit mehreren Unternehmern,79340000 Werbe- und Marketingdienstleistungen,7,"1,00",25.10.2022
ÖBB-Werbung,11224,"Verlagsleistungen ""Buch - 100 Jahre ÖBB""",,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",,,23.09.2022
ÖBB-Werbung,11224,Kundenzufriedenheitsanalyse,TQS Research & Consulting KG Geschäftsführung,79300000 Markt- und Wirtschaftsforschung; Umfragen und Statistiken,1,"765.675,00",29.08.2022
ÖBB-Werbung,11224,"Werbeanlagen: Montage, Austausch und Instandhaltung",,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",,,30.07.2022
ÖBB-Werbung,11224,Catering Frühlingsfest Infra,Maximilian Breckner-Bachmann (Vienna City Beach Club) Zentrale,55300000 Restaurant- und Bewirtungsdienste,1,"58.850,00",21.06.2022
