subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Profile Manager & KFArchitect,Korn Ferry (DE) GmbH Korn Ferry (DE) GmbH,72310000 Datenverarbeitung,1,"205.469,00",28.07.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Schuhe,,18800000 Schuhwerk,,,25.07.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,"Dienstleistungen für die Eisenbahninfrastruktur – Sicherungsposten, Sicherungsaufsicht und eisenbahnbetriebliche Dienstleistungen – Bewacher von EK und Betriebskoordination",,63711000 Hilfstätigkeiten für den Eisenbahnverkehr,,,24.07.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung von Stahlhalbfabrikaten,,14622000 Stahl,,,22.07.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Bekleidung,,"18100000 Arbeitskleidung, besondere Arbeitsbekleidungen und Zubehör",,,15.07.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung von Drehstühlen,Nowy Styl Austria GmbH Inneneinrichtung,39113100 Sessel,7,"1.128.510,00",15.07.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Dienstleistungen => Planungsleistungen in der technischen Streckenausrüstung,,71356400 Technische Planungsleistungen,,,15.07.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Beschaffung einer Digitalisierungsplattform als SaaS-Lösung,SoftwareONE Österreich GmbH; NTT DATA Deutschland SE,48000000 Softwarepaket und Informationssysteme,3,"31.796.332,44",14.07.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Dienstleistungen im Bereich Personalberatung und Recruiting,,79600000 Personaleinstellung,,,03.07.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Dienstleistungen => Bauarbeitenkoordination für Eisenbahninfrastrukturanlagen,,71700000 Kontroll- und Überwachungsleistungen,,,30.06.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung Kaffee und div. Kaffeemaschinen inkl. Wartung,,15861000 Kaffee,,,24.06.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Oberleitung > Oberleitungsschalter für ÖBB-Oberleitungsanlagen,,31110000 Elektromotoren,,,18.06.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Ausstattung von Übernachtungszimmern,XXXLutz KG Filiale Liezen,39100000 Möbel,1,"83.929,02",17.06.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Rahmenvereinbarung Automic,Arrow ECS GmbH Zentrale,48000000 Softwarepaket und Informationssysteme,1,"348.475,00",17.06.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Smart Ticketing - Automatische Fahrtenerkennung,,48100000 Branchenspezifisches Softwarepaket,,,12.06.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,"Mietwäsche TS, IMMO und Infra",,98310000 Dienstleistungen von Wäschereien und chemischen Reinigungen,,,12.06.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Verpackungsmaterial für Dienstkleidung,,44617100 Kartons,,,06.06.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung und Einbau von vorgefertigten Querschlagwandmodulen (QSWM) für Bahntunnel,,44114200 Betonerzeugnisse,,,02.06.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Red Hat 2025+ (Lizenzen und Dienstleistungen),SoftwareONE Österreich GmbH Zentrale,48000000 Softwarepaket und Informationssysteme,4,"14.657.987,64",02.06.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung von Aluprofilen,Kloeckner Metals Austria GmbH & Co KG Verkauf,44316400 Metallwaren,2,"79.518,00",28.05.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,HV-Verschraubung,Würth Handelsgesellschaft m.b.H. Key Account Management,44530000 Verbindungselemente,3,"165.589,46",27.05.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung von Bodenreinigungsmaschinen,"Stangl Reinigungstechnik GmbH Reinigungstechnik, Winterdienst und Absauganlagen",42995000 Reinigungsmaschinen,3,"1.043.220,00",26.05.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Rahmenvertrag EUR-Paletten und Tauschrahmen aus Holz,"gottschligg packaging GmbH Großhandel mit sonstigen Maschinen und Ausrüstungen (beinhaltet: Verpackungen, technisch)",44143000 Paletten,3,"358.618,18",20.05.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,"TBBM - Infra (PNA, SAE, EN)",TBBM Technisches Büro Buchauer Markus GmbH ZENTRALE,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1,"387.082,73",19.05.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,"Kisters - Infra (PNA, SAE, EN)",Kisters AG Business Unit HydroMet KISTERS AG,48000000 Softwarepaket und Informationssysteme,1,"877.219,30",19.05.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Change Management Beratung,Rahmenvereinbarung mit mehreren Unternehmern,79410000 Unternehmens- und Managementberatung,6,"1,00",16.05.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Oberleitung > Oberleitungsbauteile für ÖBB-Oberleitungsanlagen (elektrische Ausrüstung),,31600000 Elektrische Ausrüstung,,,12.05.2025
